COMMAND  PID      USER   FD      TYPE             DEVICE  SIZE/OFF                NODE NAME
Python  1581 rainhuang  cwd       DIR               1,16       960            34656640 /Users/rainhuang/Desktop/models/kiln
Python  1581 rainhuang  txt       REG               1,16     51392             1133847 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
Python  1581 rainhuang  txt       REG               1,16     72984            21267891 /Library/Preferences/Logging/.plist-cache.GbsU5C1C
Python  1581 rainhuang  txt       REG               1,16    111424             1133913 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/math.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     97008             1133907 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/array.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     69056             1133880 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_opcode.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     90160             1133874 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_json.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   2374000 1152921500312573277 /usr/lib/dyld
Python  1581 rainhuang  txt       REG               1,16     70288             1133918 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/resource.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     93680             1133926 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/zlib.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     72880             1133852 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_bz2.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16   5984144             1133846 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/Python
Python  1581 rainhuang  txt       REG               1,16     92368             1133876 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_lzma.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     98160             1133872 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_hashlib.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16     70752             1133850 /opt/homebrew/Cellar/python@3.12/3.12.12_2/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lib-dynload/_bisect.cpython-312-darwin.so
Python  1581 rainhuang  txt       REG               1,16    167472            30902978 /opt/homebrew/Cellar/xz/5.8.3/lib/liblzma.5.dylib
Python  1581 rainhuang  txt       REG               1,16   1526344            34738696 /Users/rainhuang/Desktop/models/kiln/.venv/lib/python3.12/site-packages/mlx/core.cpython-312-darwin.so
